Cusp_ID,Id,Cycloid_Nu,Confidence,CompassA,DirMean,CirVar,AveX,AveY,AveLen,Lat_dd,Long_dd
71,1,23,1,67.24902366,22.75097634,0,4156178.034,33271.81368,5336.466953,1.22,-27.556
71,1,23,1,301.3286929,148.6713071,0,4149986.771,33192.43852,4274.483115,1.217,-27.783
72,2,23,1,73.85566122,16.14433878,0,4266271.379,31684.31051,6280.175402,1.162,-23.518
72,2,23,1,303.2317111,146.7682889,0,4258889.489,32478.06209,5503.853132,1.191,-23.789
73,3,23,1,80.07375449,9.926245507,0,4380889.108,19778.03669,6446.514003,0.725,-19.314
73,3,23,1,310.2363583,139.7636417,0,4373745.344,21286.16471,5406.840985,0.781,-19.576
74,4,23,1,84.09385889,5.906141114,0,4502650.601,4141.13042,9256.654646,0.152,-14.848
74,4,23,1,311.8201699,138.1798301,0,4494951.211,5331.757801,4047.354834,0.196,-15.13
75,5,23,1,86.42366562,3.576334375,0,4613458.323,-14353.28157,7634.883577,-0.526,-10.783
75,5,23,1,322.431408,127.568592,0,4606314.559,-11733.90133,5207.397596,-0.43,-11.045
76,6,23,1,78.366366,11.633634,0,4734426.065,-32609.56808,5510.717221,-1.196,-6.346
76,6,23,1,310.4622275,139.5377725,0,4726806.05,-31339.56554,7094.203382,-1.15,-6.626
77,7,23,1,90,0,0,4891350.754,-64597.75706,9366.268733,-2.369,-0.591
77,7,23,1,338.5522637,111.4477363,0,4884206.99,-61422.75071,4775.720395,-2.253,-0.853
78,8,23,1,90,0,0,-4735033.966,-131431.6407,7937.515875,-4.821,6.324
78,8,23,1,334.5366549,115.4633451,0,-4743130.232,-125796.0045,11077.3146,-4.614,6.027
79,9,23,1,96.51980175,353.4801982,0,-4527071.05,-216998.0619,11184.85837,-7.959,13.952
79,9,23,1,331.5257964,118.4742036,0,-4537231.07,-210727.4243,10655.20967,-7.729,13.579
80,10,23,1,106.6069806,343.3930194,0,-4319028.759,-307406.3677,9442.641833,-11.275,21.583
80,10,23,1,337.6198649,112.3801351,0,-4327125.025,-300897.6047,8755.76723,-11.037,21.286
81,11,23,1,103.5704344,346.4295656,0,-4145197.161,-365350.2336,4735.977232,-13.401,27.959
81,11,23,1,340.974394,109.025606,0,-4150515.297,-360905.2247,4869.780813,-13.238,27.764
82,1,24,1,120.1413856,329.8586144,0,4377237.851,-366435.0274,9484.510376,-13.44,-19.448
82,1,24,1,232.8152935,217.1847065,0,4363744.074,-366699.6113,9630.99797,-13.45,-19.943
83,2,24,3,83.41805534,6.581944655,0,4545645.479,-268538.9983,13849.64475,-9.85,-13.271
